	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9
11098|DGAT2L6	0.102045	0.0791623	0	0.0533852	0.181233	0	0.0499807	0	0.0878175	0.228184	0.0450359	0.0594879	0.166464	9.99402	0.0994934	0.393881	0	0.0523055	0	0	0.0914656	0.0801423
4339|GAD1	58.4705	14.9933	91.6052	636.074	25.9226	19.8871	170.5	0.212753	8.38741	1.89977	33.729	51.8567	16.5682	50.5909	579.461	24.6207	18.2076	133.666	0.891416	10.9408	2.42616	26.676
14256|SRGN	237.141	2066.41	9.46423	237.681	369.192	110.22	314.238	314.361	343.245	116.302	8373.01	200.942	1882.7	26.1493	180.408	346.354	104.64	266.741	309.668	300.444	49.2263	8414.88
7822|UBE2D1	4.79862	4.16376	0	5.96568	4.34714	6.69056	2.88493	1.56514	4.33868	28.814	5.40056	2.85277	2.67028	0	3.27871	3.77851	3.53937	2.61442	1.13569	2.85284	17.1676	3.05084
9357|EDA	5.93942	2.581	0	1.38828	4.74253	0.83947	6.11555	1.70057	4.56345	0.741812	0.0996987	4.47914	2.06116	0	0.889506	4.64494	0.918736	7.19119	1.46592	4.48381	0.745682	0.469782
6543|PTCD2	14.8169	16.3391	83.3728	41.7285	59.6927	30.9854	21.861	18.6592	28.6381	10.2091	55.6558	20.3343	19.7232	187.855	34.2122	58.2542	31.5058	24.1998	18.0081	28.4505	10.0366	55.4338
8162|TNFSF10	192.085	382.23	196.505	34.0672	55.5135	155.35	639.179	825.906	474.524	2396.97	98.7251	135.113	269.704	375.768	28.6839	39.3471	124.508	433.715	724.944	394.444	2109.14	85.5326
12158|KIAA1107	40.9773	15.0333	104.402	446.324	14.7098	10.9782	24.1811	13.9969	60.0963	6.23432	9.70342	31.3784	13.9428	197.509	412.22	10.6134	13.373	13.6895	15.081	51.7209	7.03536	14.4182
3108|CAMKK2	57.3693	49.6668	0	423.304	60.7774	58.9507	191.728	54.0462	81.366	74.2999	67.8297	55.8945	73.2398	0	716.674	80.6431	55.9739	137.792	73.0408	73.86	155.403	99.1728
11649|GRAMD4	4.32203	3.59035	0	10.0525	11.9378	11.4018	10.2599	7.47798	9.38814	3.0084	18.9389	9.19357	7.21551	0	11.8929	16.0641	15.6536	14.6751	8.72983	10.4401	3.83621	24.8275
3387|CLCN2	8.89369	7.1437	128.918	14.5948	12.8176	15.9506	28.0552	2.91064	21.9881	1.15696	4.69834	14.0313	10.9799	0	20.6484	22.0215	25.703	37.0167	3.844	34.5922	3.24208	8.97432
10214|TAF5	0.22463	0.140332	0	0.722075	0.968486	0.654379	0.973816	0.335985	1.34489	0.482994	1.9799	0.560925	0.272486	0	0.695954	1.13257	0.345295	0.858498	0.192705	1.08546	0.279449	1.81024
10390|ZNF146	1.96412	1.30538	0	3.05185	5.86779	7.87816	0.820995	1.91181	3.46246	4.8344	13.5511	5.00899	2.72341	6.14798	5.63015	10.5265	12.3605	1.05374	2.75495	5.01708	6.14736	20.6935
13447|POLK	14.8643	12.5646	0	35.0071	33.4874	18.6795	9.69989	14.9799	42.1663	34.8625	39.1631	15.4058	15.1611	0	28.736	36.5678	20.6303	11.4992	13.2584	44.1222	29.7616	44.4874
4307|FTCD	9.82431	16.8691	0	0.252296	2.22946	0	12.2177	89.0596	0.161357	0	0	10.1014	16.4312	0	0.530679	1.89868	0.0257084	12.6627	83.4803	0.179052	0	0
11455|FFAR2	0.471297	1.52978	158.874	0.49414	0.933935	0.763827	2.03037	2.15039	2.56308	672.305	0.805646	1.22125	2.3044	48.9791	0.931138	1.58515	0.858344	1.26417	2.26408	3.2624	623.983	0.768132
12237|SNX24	25.0174	12.1814	0	36.1444	30.1321	41.7434	23.7869	17.8612	21.2639	3.24928	8.26101	21.0848	11.2654	0	26.1028	26.5131	36.8387	19.3508	14.4289	17.7635	2.63711	7.46706
3948|EIF1B	17.3052	10.857	0	22.1608	9.29375	5.51765	9.76772	3.61514	10.1412	28.0179	9.13228	9.49588	5.54544	0	9.84773	5.12794	2.62055	5.99214	2.67197	6.02708	15.5299	5.55296
2912|BCAR3	17.6149	16.7839	137.207	25.2867	41.1688	135.247	57.8474	54.9563	61.0862	18.9047	9.40504	24.3539	23.8019	142.185	29.908	65.3707	188.459	71.5859	68.8252	81.7933	20.3718	9.12904
5875|NUP58	15.5059	12.2847	0	20.4741	35.1552	32.2839	28.5661	7.77213	25.4683	50.6777	53.1669	10.77	9.89555	0	15.2488	35.0425	33.1176	23.474	9.13242	24.4345	45.839	57.6777
15466|FNIP1	4.89149	2.91157	0	11.4272	9.36587	6.85032	4.0442	4.34957	11.6048	7.57049	12.8147	3.65198	1.61807	0	7.22142	9.55572	5.10691	3.6988	3.57909	9.87305	6.10385	13.546
3999|ENPP7	2.7115	3.02829	103.513	0.121633	1.79758	0.0544837	15.8964	7.34809	0.248009	0.773286	0.153281	2.16358	3.3495	44.4419	0.112541	1.95287	0.220564	20.9365	8.62305	0.0544501	2.26903	0.182074
9404|FER	5.66504	3.55643	0	40.8546	21.2175	18.2006	16.6515	6.76911	26.4556	6.97421	22.0746	2.87068	2.79153	0	21.1814	16.0229	13.7546	7.86804	5.39359	19.5784	5.02214	16.496
700|CD74	3344.52	17169.2	175.663	1083.83	521.611	60.2394	12065.2	1916.23	3072.89	14549.8	1663.02	2218.13	12699.7	80.3962	1164.89	434.113	62.9643	10004.2	1854.06	3249.46	18134.1	2138.22
13332|CAND1	34.8328	33.7183	0	74.0046	63.8207	67.5434	24.9439	19.1727	41.8742	34.8312	68.0246	18.2839	18.0435	0.0380628	36.1216	41.2321	41.3319	16.1373	11.1214	23.8645	16.0516	40.6668
11602|KIF21B	2.2695	0.643028	0	2.76152	2.84281	0.417242	3.15855	0.0744804	1.65517	5.51651	5.79054	6.72538	2.17689	0	8.02885	6.70674	1.08284	8.6366	0.294251	2.80178	13.1689	11.5232
2747|ARHGAP5	45.359	29.3296	14.0379	278.884	105.115	118.653	36.4859	52.345	185.602	47.234	64.7616	25.5203	12.9426	0	157.299	69.4215	81.5523	19.8238	36.0273	122.416	26.7994	46.6829
10874|APBA3	3.15507	4.78623	0	2.57528	3.20754	2.07261	2.04433	2.74552	2.59174	13.612	3.04173	4.93192	6.30207	0	3.32048	3.26669	2.96418	4.03331	3.54194	4.05196	16.0977	2.86434
3550|CRHBP	56.5912	79.1533	0	21.7448	1.47811	0.118553	35.4426	71.0074	13.4361	0.285686	0.113225	47.713	72.0442	0	14.3519	1.0474	0	26.9679	60.3197	10.9753	0.171053	0.0501172
4838|IGFBP3	182.384	343.629	76.1767	29.573	748.89	480.97	197.945	410.318	225.342	7.42784	0.0566127	258.939	473.953	147.396	34.4322	1034.03	659.574	244.656	510.499	286.198	6.89914	0.200469
10523|OR1A1	0.0311191	0.0496647	90.7385	0.130672	0.304693	0.148784	0.0922676	0.0719491	0.186802	0.264828	0.027473	0.109113	0.102909	77.8038	0.217973	0.45034	0.329935	0.131046	0.195032	0.0593793	0.238997	0.0481709
17279|TAS2R30	3.34999	3.55212	150.168	10.9573	24.3476	12.389	11.6238	7.99259	18.9878	16.0016	12.5583	2.16842	2.76353	42.7126	8.19901	21.0041	10.5637	11.0161	7.45352	15.2349	12.1143	10.9424
15260|TGIF2LY	0.0174526	0.0131077	14.1952	0.051764	0.0739977	0.125891	2.23269	0.0128945	3.9874	0.0840674	0.736151	0.0409672	0.0138217	11.2694	0.016638	0.127163	0.0626587	3.28645	0	4.78609	0.212365	1.09715
2612|ALAD	6.15427	8.05994	0	4.74452	2.02946	1.07401	4.99895	6.87123	2.77753	0.647583	2.68882	6.88566	10.4099	0	5.07804	1.91529	2.19627	7.07241	5.53572	3.54014	0.784847	3.3536
11326|ZNF274	1.33014	1.31845	0	1.45542	2.15662	3.49053	1.15166	1.10075	1.73225	2.08276	2.33109	2.33929	2.25374	3.43201	2.49972	2.37566	4.10377	2.37985	1.34216	2.36036	2.28004	2.58695
17847|ATP9B	10.5376	5.67318	0	10.378	4.26433	4.23879	10.7062	2.87419	8.26406	3.85367	8.5909	12.3662	8.15582	0	9.58876	5.22937	4.84055	12.7342	3.55133	9.25413	4.05066	8.74306
11414|SOX30	0.08654	0.069069	37.4268	0.0910859	0.155261	0.139071	19.3121	0.0887437	18.2094	0.172708	0.103273	0.0337021	0.263097	34.4059	0.114928	0.307535	0.252047	32.1498	0	27.5682	0.247169	0.11336
1970|TPD52L1	36.3915	13.2548	0	45.2802	27.8922	100.33	23.1267	18.2872	32.8845	0.0484319	5.48624	52.0164	21.4924	0	55.2978	36.0836	128.619	28.7205	23.5883	41.4038	0.130409	6.01715
7689|TOMM22	128.47	134.766	0	100.554	158.244	180.85	146.652	69.7366	138.891	108.559	249.225	64.509	68.53	15.7213	68.8185	102.125	118.428	85.9226	40.908	96.3542	65.895	167.101
20392|ZNF84	68.1546	64.0764	98.5337	89.3262	92.5216	74.8936	23.4429	78.7016	93.5435	68.9378	79.6299	43.0052	59.0283	30.7422	98.4314	132.395	66.2311	15.4824	60.8878	102.507	83.7651	74.3961
4007|EPDR1	15.1815	7.58231	80.1708	73.3552	12.1385	8.1739	26.8258	2.65343	19.6565	0.66897	12.9344	16.6294	6.82883	43.4281	52.7777	9.47636	6.2082	23.7785	2.74836	15.1319	0.623317	14.1326
13800|RNF112	7.68827	2.25721	37.7686	39.5912	0.721156	0.404184	5.89139	0.951577	2.3484	0.462839	0	9.13539	1.91223	38.0931	31.0551	1.27702	0.32452	6.63108	0.791553	2.55323	0.227267	0
10796|KCNB2	0.167125	0.198704	0	1.61615	0.0248601	0.106375	0.460469	0	0.497158	0.0473642	0	0.451394	0.31971	4.45245	3.17041	0.0801711	0.106081	0.459663	0.0636173	0.420791	0.0238082	0
4269|FMO5	2.33271	6.34611	23.8653	0.483637	4.79196	0.367974	7.7379	53.1358	2.57007	0.210264	0.344336	3.02099	5.51195	0	0.350136	4.3042	0.156829	4.70061	42.6169	3.01229	0.187831	0.365486
2679|ANKRD26	3.45592	3.03877	0	12.2286	7.74612	7.109	5.68149	2.99138	7.07372	4.29767	5.96978	2.74341	2.46638	0	9.01429	6.39778	6.49047	4.67286	2.44205	6.00388	2.72491	5.61742
10232|ARL14	0.710109	0.253856	0	0.0832373	0.362404	3.68232	0.0793485	0.266844	7.70763	0.503676	0	0.282972	0.138798	27.7433	0.0781237	1.11725	2.43159	0.255629	0	7.84988	0.428098	0
15838|SPNS2	12.0161	6.1181	0	22.5092	0.904303	10.5458	26.6594	2.68915	8.63435	0.987645	5.30025	14.5639	7.20492	0	24.3097	1.1816	10.2464	31.8692	3.73017	10.8531	1.38827	6.81528
11527|AAK1	12.5164	3.00656	0	238.758	1.2607	4.5094	40.9642	0.882784	5.40385	3.06249	2.51025	12.4875	3.69934	0	198.628	2.39376	5.10666	34.7239	0.914096	7.35126	2.84622	2.43555
9665|KPNA1	20.9251	20.4941	0	44.1515	41.6416	46.4225	33.249	22.2744	38.9594	44.6059	64.2779	18.5623	20.8147	0	36.356	41.6027	45.1257	30.6984	18.6443	35.2892	39.4823	64.3138
14025|SHISA8	0.343785	2.56705	0	10.9851	0.156379	0.341777	0.0855209	0	0.151536	0.495848	0	0.103849	1.92187	0	6.23313	0.0859901	0.0859447	0.359519	0	0.0833839	0.490121	0
10884|APOBEC3B	3.15293	12.9693	0	0.124045	20.765	40.542	0.647882	0.235076	3.54124	21.1699	32.6653	3.50638	15.3782	0.126949	0.0766263	20.2486	42.2926	0.76389	0.179603	2.76319	26.6003	31.7812
8282|BDKRB1	1.48816	0.368603	73.1824	0.809426	3.36922	15.8507	1.98631	0.417749	3.98015	0.250319	0.0189466	1.65683	0.473819	74.3131	0.773601	3.89156	16.3784	2.38373	0.391021	4.64714	0.252226	0.0333511
878|FOSB	20.3484	9.01852	40.4386	3.41052	19.3818	27.3111	30.9861	4.51889	71.6186	2.84883	3.45311	42.2983	18.482	19.9175	4.87248	32.0982	46.1549	56.4901	7.081	118.241	4.89254	6.56971
8000|WLS	235.649	134.942	0	190.54	195.078	139.534	273.099	78.2764	238.376	2.45116	11.9063	211.112	117.292	0	142.095	175.665	116.467	240.896	84.0299	208.822	2.3289	10.8549
100084|HIST1H2BM	26.5858	165.419	224.24	30.4189	1862.62	2039.59	402.577	23.0547	493.79	48.5683	5169.8	23.6904	233.67	338.511	66.5583	2362.65	2438.86	370.563	40.6942	682.326	95.9681	7237.35
13987|SMAP2	5.99378	14.6906	46.3067	22.6956	12.9061	7.53063	14.3443	7.14127	8.25698	58.4923	36.3753	14.7415	32.9149	34.0277	44.8694	24.0144	13.6481	25.5963	10.3166	14.9745	89.7868	58.449
30354|LOC100134391	0	0	0	0.0273011	0	0	0	0	0.0224983	0	0	0	0	0	0	0	0	0	0	0.024898	0	0
10204|APOBEC3H	0.160991	2.28453	54.9574	0	0.505511	0.627946	1.10919	0.290746	1.19548	1.33048	4.69626	0.485175	1.94226	91.2391	0.235387	1.11595	0.797128	0.674864	0.158877	0.692878	2.18924	4.23767
890|FZD3	31.1135	11.6342	138.607	142.401	30.4784	19.3522	53.9166	4.21419	27.4203	9.39613	35.9436	12.1247	5.65559	48.3065	68.1279	15.5859	11.7919	29.4018	2.93245	15.352	5.78209	24.4742
2087|MS4A4A	1.67823	5.40468	0	1.44639	2.03844	0	4.02271	5.56949	5.26892	2.97405	3.87671	1.4874	6.32995	0	0.986282	1.92735	0	2.98114	3.86152	4.30721	2.69729	2.75923
10306|UBTF	80.1877	84.2414	35.114	82.6166	93.5374	77.1592	88.3361	50.5985	65.868	46.0647	129.857	145.68	153.647	89.6886	106.141	139.51	117.725	131.578	58.0288	98.0426	69.9461	190.006
11073|DDHD1	5.36526	5.33098	0	40.2036	16.5981	12.3511	48.0058	5.20346	47.2179	31.2279	19.494	7.16864	5.55193	0	28.2808	21.2278	11.1382	45.1612	5.68139	42.1739	31.0371	17.8859
8343|CD72	1.88783	18.2469	1.97475	0.587237	1.40456	0.490098	2.04921	1.46341	1.80026	11.7286	4.72877	2.61747	28.3405	52.777	0.895441	2.36328	1.22968	1.56916	1.53308	2.52105	18.1102	5.89046
16743|RBM46	0	0.0603178	0	0.0199297	0.119489	0.0907144	6.17944	0.0887728	9.30537	0.226016	2.12592	0	0.142965	0	0.114964	0.0916292	0.0541172	5.56644	0.0756519	8.69332	0.0489034	1.68902
2497|ADAM17	60.1157	62.9284	0	73.8254	144.087	152.782	118.741	73.7905	125.272	292.36	180.335	68.321	64.1333	0	59.5686	155.477	156.5	106.97	74.4059	112.023	236.66	171.765
10506|C3orf62	12.3762	14.8319	0	14.618	13.5268	11.1078	38.3134	6.44382	24.7762	14.8754	8.74354	11.008	13.6837	58.345	11.9806	15.5642	10.2274	32.5365	6.42361	23.3475	13.8868	9.40201
9421|NR5A1	3.88817	17.1152	0	0	2.52469	0.0343926	7.14385	0.108736	4.45692	0.0905688	1.37815	4.54303	18.658	0	0.0693	2.67489	0.0689255	7.33741	0.13712	4.88681	0	2.0667
5727|NFE2L3	15.2719	21.5112	31.6707	4.1275	78.2701	43.9135	7.94651	25.651	10.31	102.462	46.1031	13.1518	17.4004	62.7912	3.45199	69.1884	36.6125	8.2069	27.3502	10.4649	82.7838	41.9666
9777|PPP1R12A	12.7587	8.10366	0	50.7968	27.9279	24.9203	7.48973	6.90379	40.9145	5.88829	16.7292	18.1659	14.6053	0	60.9783	40.0029	31.1737	6.63887	9.01998	50.786	9.43246	20.8253
10083|RTN2	113.446	23.8051	0	111.309	33.1951	49.3611	35.7025	11.0922	34.8879	14.1576	43.6092	174.503	44.1062	20.9322	146.273	44.0255	73.3338	52.0679	15.5215	49.3347	22.7716	58.0061
18050|ZCCHC13	0.125479	0.0485901	0	0	0.397952	0.17783	10.7383	0.14211	13.7103	0.228549	0	0	0	51.7256	0	0.431283	0.0613957	15.5584	0.34134	23.45	0.228071	0
2351|SLN	549.231	6.54448	0	5.69988	0.0341397	0.0544287	1.12858	0.754569	211.032	0	0	468.453	6.84643	0	5.05843	0.0366517	0.0721563	1.06591	0.529563	189.043	0	0
19295|PQLC2	25.3775	28.1839	0	35.7045	25.4752	22.4101	31.133	17.9333	19.772	12.0451	21.5569	41.7349	45.5854	21.2578	38.2528	46.2215	47.0836	46.5702	25.913	29.0585	16.3752	38.0121
12403|LRP12	52.3411	24.2331	214.737	119.082	74.6271	103.811	58.8577	11.745	55.9816	92.4894	139.08	40.6022	19.9795	181.174	94.3055	55.5355	95.0887	36.6151	8.40903	51.0478	82.2685	123.927
6421|PRDM4	13.6205	8.82036	86.444	33.9104	34.3241	33.335	46.65	9.53159	32.0673	21.957	41.0228	17.6573	14.4083	61.7196	32.9539	35.9723	34.4873	49.9164	11.407	34.3828	23.4026	43.5024
14428|ZNF556	0.411655	0	15.8521	0.455188	0.638928	0.604529	0.293506	0.0616663	0.186914	0.0934508	0.319741	1.90799	0.0449955	47.4215	1.02347	1.34671	1.0978	0.226535	0.0417608	0.285648	0.140874	0.494482
11220|PPIH	16.5105	14.8875	0	15.2212	50.3989	43.3204	19.302	5.58173	17.6619	10.6394	67.9727	13.7492	14.7762	0.0159665	10.0205	40.556	33.0793	13.4167	3.66396	13.2777	7.07596	58.1744
9122|ADARB1	56.4771	67.0552	0	139.759	53.2343	22.3801	75.3578	24.5279	46.3432	47.1983	28.1976	47.065	60.8633	0	129.351	61.3451	29.4178	74.1648	28.9949	45.8254	44.9705	28.2288
11988|APPL1	63.2599	52.4374	0	247.641	86.1996	97.5064	107.152	35.0465	119.242	67.8457	129.572	47.8815	43.7185	28.009	167.122	78.0422	78.6808	87.2757	27.1905	91.7628	49.1397	108.401
11799|RPL13A	48.1453	37.2259	0	14.3235	44.7256	29.2201	18.9262	16.8797	25.1897	41.1354	81.5218	49.7035	53.1119	0	10.5961	40.78	31.1255	19.1768	15.2281	27.0305	45.408	74.2509
12269|GTPBP8	17.0772	11.0863	0	23.8657	39.6956	37.8668	35.3102	6.78078	44.8279	20.9774	63.7639	16.9069	15.7355	0	21.0687	45.3403	35.3459	31.3685	11.4525	48.6965	16.328	66.3004
9307|CYP3A7	356.232	396.379	0	0	0.417578	0.0411077	1.45769	21.5572	0.369008	0.482159	0	290.911	360.7	0	0	0.782146	0.124051	1.44159	16.1245	0.285838	0.299075	0
15767|LRR1	15.8294	26.0911	0	6.09918	61.3456	84.1127	35.224	7.83556	43.7317	30.3056	93.2151	12.8663	19.7168	6.7898	5.44745	51.71	67.5218	35.9326	6.29635	49.0587	20.5582	74.8294
11492|FN1	51.4366	32.5056	0	9.69902	150.57	142.465	61.0054	315.823	37.2004	0.51741	1.445	52.0108	29.8276	0	7.84622	193.458	139.497	57.4478	303.774	36.2606	0.364874	0.124637
7959|VWC2	2.36785	0.459452	0	11.7941	0.0472759	0	1.38239	0.0395073	0.494962	0	0	3.11712	0.368554	0	12.0142	0	0	1.9305	0.0200281	0.448163	0	0
72|CAPN7	140.84	145.493	0	176.032	195.868	162.74	92.2034	125.787	241.442	147.167	143.065	82.402	92.4861	0	108.04	120.11	112.909	57.047	84.7542	171.265	103.581	107.868
7394|STK38L	29.3877	25.7691	162.334	88.031	40.6446	59.1201	39.6913	21.6647	87.8037	48.3714	62.3808	19.8934	14.8015	27.9848	48.1154	23.8712	30.5948	16.9556	17.2533	42.3788	25.1609	35.1096
9593|HOXD8	46.4274	12.0503	0	0.0669072	9.60771	5.63127	79.0786	2.08427	50.1248	0.0571373	0.169838	42.6196	11.6955	0	0.061596	9.36499	5.28003	73.7081	1.60918	39.6431	0.285088	0.150352
4028|ERC1	8.59631	8.70269	0	42.2335	21.0897	17.4117	17.6576	13.5778	23.707	8.14196	13.4772	10.6836	7.2232	0	32.812	19.4306	21.1439	15.1062	12.1162	22.8264	7.06904	12.651
6492|PRSS27	1.71892	2.78097	0	1.12446	0.469138	3.24688	1.02625	0	13.4867	0.0826414	0.230093	2.18084	2.1525	0	2.67134	2.23574	5.67235	1.97736	0.37786	27.0164	0.490121	0.600128
17353|TSSK4	0.0785495	0	0	0	0	0	12.4946	0	20.7124	0	0	0	0.0677765	45.8629	0.0775948	0.237772	0	13.316	0.29214	17.3742	0.425588	0
1026|IL3RA	29.0068	69.3647	0	10.1169	9.53232	2.98057	34.5882	15.7208	40.4022	462.776	29.6289	33.9699	73.5989	139.738	8.48349	10.092	2.68507	36.7782	15.038	40.3032	482.151	27.4996
184|FMR1	73.1339	63.7277	0.0393808	258.947	139.112	174.689	128.506	106.235	116.989	134.613	74.495	61.171	47.1185	0	169.644	115.798	131.323	95.875	80.8585	86.9727	95.1189	57.6139
18709|RASA4B	6.74451	3.55779	7.12967	13.3234	5.45868	2.72156	11.2377	2.49781	7.96143	5.67286	3.38743	12.8382	9.92676	0	17.8066	9.66994	4.21371	18.8469	3.68708	13.273	8.96963	6.22391
9384|STX2	5.35872	5.37327	0	3.98066	12.5286	5.87219	10.2208	5.9454	13.5078	7.65706	9.53187	5.1448	5.62469	0	2.62686	9.36337	4.65322	9.20419	3.38683	10.7687	4.10788	6.95412
8198|OR4C15	0	0	0	0	0.070625	0.0124769	0	0	0	0	0	0	0	0	0	0.126629	0	0	0	0	0	0
20473|ZNF718	2.19404	2.03268	24.0212	3.89717	2.14942	5.32435	1.02437	0.948914	2.41623	1.46979	2.29236	0.953635	1.38479	5.51225	2.48735	1.98178	4.16612	0.621427	1.0623	1.27809	1.94836	1.85945
12386|MYEF2	6.52533	1.40846	0	29.8472	10.0278	12.0186	8.21605	0.681702	8.34546	0.421936	3.13791	5.98016	1.3948	0	17.6227	8.56961	10.6075	7.0335	0.565046	6.85898	0.466973	2.96157
16295|FAM161B	42.6465	23.9795	0	59.5508	26.7285	27.8914	47.3547	8.03077	46.304	10.7836	10.6966	32.1693	17.8359	145.23	69.4293	21.0895	23.7518	36.9195	13.9535	42.3288	13.0175	7.59144
808|DGKA	4.45038	15.7934	6.38213	6.76323	7.71604	6.84984	6.69694	2.21945	14.5379	21.6835	9.20894	13.6948	64.8424	16.5934	14.4711	17.8532	16.5198	13.6392	4.13162	27.6967	40.1325	15.6492
825|ECSIT	90.5275	57.3272	0	99.3547	59.9793	45.8762	58.8075	40.2997	48.8567	18.73	44.4838	93.6191	61.6275	0	93.5616	68.4172	47.0982	61.202	39.4011	51.2467	18.3183	49.3304
12388|ASAP1	23.5656	42.17	218.609	46.0036	34.7489	76.9116	52.558	14.7235	44.3675	80.2433	44.2249	44.4871	74.5086	82.5854	79.6347	80.8255	162.985	100.547	28.151	76.8013	147.792	80.114
14125|KXD1	29.7224	26.6685	133.289	20.9264	63.7893	46.1525	37.4465	17.1705	30.4426	19.5085	97.2073	67.7776	59.7833	63.7422	53.662	132.433	104.548	91.6082	31.5902	64.7448	36.9404	168.081
11405|STON1	2.07783	1.13345	0	4.79968	2.23962	1.62953	4.68485	2.04741	9.21193	0.0919989	1.84378	2.47467	1.18077	0	3.24779	2.00478	1.52185	3.63103	1.78787	7.38646	0.0698623	1.61743
12467|MAFK	24.2798	20.92	0	17.7844	29.7802	31.0004	22.6513	22.7089	15.4348	24.3031	7.72341	25.251	18.5325	21.9788	19.0734	36.0813	42.9201	29.8158	29.5506	21.9109	29.0468	12.5946
13184|FEM1A	5.44496	3.34076	4.42606	11.9722	13.0813	11.4448	11.3905	3.57395	10.8325	5.23667	16.0813	16.2628	12.3462	44.247	31.0277	31.201	31.3205	31.4746	8.87384	27.3656	16.5134	37.4798
5600|MYL3	40.4652	4.47389	59.1854	8.98179	1.99096	0.296166	23.9758	24.2835	181.753	0.430818	0.16421	45.0782	8.99599	183.572	7.08417	3.11926	0.397196	27.4993	21.0156	231.955	0.496286	0.213443
15023|CCDC142	2.93563	3.29071	0	6.58587	8.64374	6.20298	8.71027	3.21605	7.0049	3.18547	3.54176	5.1153	4.52786	40.8211	7.90252	10.87	8.49449	10.7221	4.71747	8.45087	5.01933	4.46572
13925|SAMD4B	31.4448	20.8015	0	39.5928	30.2424	43.8824	35.0755	9.40867	24.0501	15.5027	25.273	53.9677	34.3873	0	66.2049	55.5063	72.1296	78.3901	19.661	42.6758	26.3649	46.3809
100393|RPSAP58	310.296	272.025	606.587	104.752	338.462	235.529	92.1767	76.1492	115.355	185.586	409.201	272.119	268.783	218.169	87.9092	290.495	217.813	89.5456	73.4257	105.81	175.589	369.872
11204|EBLN2	1.03135	2.92359	46.7983	2.42191	4.535	4.35766	4.87469	3.0127	5.37954	8.92527	4.44847	1.66159	2.38312	62.8331	2.34754	3.69757	3.00807	3.41543	1.03911	3.16859	8.33206	3.80081
13205|LRRC16A	44.2019	30.5947	0	73.5066	63.5458	86.3544	85.9584	12.7846	65.653	5.47839	11.4624	76.0017	47.5909	0	100.265	87.3963	122.303	129.366	16.2749	88.776	8.34173	17.5234
11304|TBR1	92.4466	1.36521	0	377.632	1.77056	1.76071	110.695	0.434496	5.22709	1.36266	0.455621	67.0988	0.392722	24.4553	336.152	0.620192	0.229958	71.1327	0	5.43243	0.225668	0.189242
15245|SCRN2	23.1674	19.383	62.6862	16.8658	17.5354	17.2931	48.0397	12.2651	19.4915	5.93676	12.7291	23.1829	20.1451	39.6108	15.9945	22.1161	18.84	53.0001	14.2548	22.8883	6.46472	13.8124
4387|GCH1	2.54847	4.51634	0	0.791929	4.74693	6.80231	5.92463	14.5825	3.53801	119.804	3.49262	1.59108	3.25481	0	0.73142	2.99598	4.55115	3.94735	10.2799	1.82371	65.8676	2.65769
